playerID,yearID,salary,stint,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old,W,L,G_right,GS,CG,SHO,SV,IPouts,H_right,ER,HR_right,BB_right,SO_right,BAOpp,ERA,IBB_right,WP,HBP_right,BK,BFP,GF,R_right,SH_right,SF_right,GIDP_right,GS_right,InnOuts,PO,A,E,DP,PB,WP_right,SB_right,CS_right,ZR,Training-Validation
garkory01,2007,383100,1,138,0,484,62,140,29,1,21,61,0,1,34,94,1,20,0,3,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
sexsori01,2007,15500000,1,121,0,434,58,89,21,0,21,63,1,0,51,100,1,5,0,1,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
thompbr01,2009,650000,1,32,0,12,0,1,0,0,0,0,0,0,0,7,0,0,2,0,0,0,2,6,32,8,0,0,0,240,85,43,8,23,34,0.273,4.84,2,5,7,1,345,17,45,2,2,12,8,240,8,10,1,2,0,0,0,0,0,Training
harpebr03,2014,2150000,1,100,0,352,41,96,10,2,13,32,2,2,38,104,4,1,3,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
quinlro01,2006,365000,1,86,0,234,28,75,11,1,9,32,2,1,7,28,1,2,0,1,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
wilsoju10,2016,1525000,1,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,66,0,0,0,1,176,61,27,6,17,65,0.263,4.14,2,4,1,0,251,10,29,1,0,7,0,176,1,4,0,0,0,0,0,0,0,Validation
cordefr01,2009,12125000,1,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,68,0,0,0,39,200,58,16,2,30,58,0.243,2.16,2,3,0,0,276,59,21,3,4,7,0,200,5,8,0,1,0,0,0,0,0,Training
lowema01,2007,380000,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,2,2,1,3,3,0.2,6.75,0,0,0,0,13,1,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,Training
gonzami03,2014,529000,1,27,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,9,27,26,1,1,0,477,155,57,25,51,111,0.255,3.23,1,4,8,1,671,0,61,0,3,12,26,477,7,13,1,0,0,0,0,0,0,Training
floydcl01,2008,2750000,1,80,0,246,32,66,13,0,11,39,1,0,28,58,2,5,0,5,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
hollima01,2009,13500000,3,156,0,581,94,182,39,3,24,109,14,7,72,101,8,10,0,7,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
geedi01,2014,3625000,1,22,0,38,1,1,0,0,0,1,0,0,2,17,0,0,3,0,0,0,7,8,22,22,0,0,0,412,128,61,18,43,94,0.25,4.0,0,3,5,1,570,0,61,7,3,12,22,412,14,24,0,1,0,0,0,0,0,Training
tracych01,2013,1000000,1,92,0,129,6,26,4,0,4,11,0,2,7,25,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
sappeda01,2013,492000,1,31,0,75,6,18,3,0,0,4,3,1,3,14,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
gosseph01,2015,507500,3,44,0,106,19,33,9,1,3,15,2,1,9,16,0,2,0,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
wheelza01,2016,546250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
geltzst01,2016,519300,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,80,24,17,11,9,23,0.238,5.74,0,3,1,0,112,11,17,0,1,1,0,80,1,1,0,0,0,0,0,0,0,Validation
lindofr01,2016,540300,1,158,0,604,99,182,30,3,15,78,19,5,57,88,3,5,3,15,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Validation
doteloc01,2013,3500000,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,14,10,7,0,4,4,0.417,13.5,0,0,0,0,28,1,7,0,0,0,0,14,0,1,0,0,0,0,0,0,0,Training
murphda08,2015,8000000,1,130,0,499,56,140,38,2,14,73,2,2,31,38,10,2,0,6,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
grudzma01,2010,600000,1,30,0,110,10,30,0,0,0,11,2,0,8,10,0,1,0,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
villaca01,2009,447000,1,64,0,11,0,1,0,0,0,0,0,0,1,7,0,0,1,0,0,0,4,10,64,6,0,0,3,288,102,57,13,35,83,0.268,5.34,8,4,2,0,422,23,58,4,0,10,6,288,2,18,0,1,0,0,0,0,0,Training
masseni01,2008,396000,3,42,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,42,1,0,0,1,186,71,27,7,26,43,0.567,6.71,4,3,2,1,271,12,32,3,1,13,1,186,3,11,3,3,0,0,0,0,0,Training
loughda01,2015,525500,1,84,0,134,14,27,1,1,4,12,2,4,5,36,0,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
jonesad01,2016,16329674,1,152,0,619,86,164,19,0,29,83,2,0,39,115,2,5,1,8,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,150,3900,349,4,2,1,0,0,0,0,0,Validation
